Producto 20335: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20336: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20337: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20338: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20340: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20341: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20342: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20343: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20344: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20346: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20348: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20349: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20350: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20351: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20352: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20353: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20354: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20356: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20357: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20358: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20359: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20361: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20362: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20364: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20365: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20366: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20367: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20368: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20372: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20375: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20377: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20378: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20379: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20380: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20381: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20382: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20383: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20384: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20385: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20386: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20387: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20388: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20389: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20390: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20395: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20396: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20398: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20400: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20401: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20402: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20403: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20404: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20406: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20407: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20409: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20410: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20411: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20415: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20416: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20417: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20418: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20419: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20421: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20422: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20424: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20426: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20428: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20429: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20432: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20433: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20434: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20438: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20443: mejor modelo = regresion, MAE sep-nov = 0.0000
